Sample	Replicate	Exp.nbl	Depth	Data	Subsampling	N.nbl.reads	Type	Input.material	Fraction.tp.perc	Fraction.tp	Fraction.ddPCR
5M_mix_Bmap_CLBGA_0-7_rep28	28	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep28	28	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep28	28	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep28	28	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep28	28	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep28	28	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep28	28	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep28	28	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep28	28	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep28	28	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep29	29	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep29	29	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep29	29	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep29	29	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep29	29	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep29	29	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep29	29	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep29	29	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep29	29	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep29	29	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep29	29	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep29	29	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep29	29	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep29	29	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep29	29	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep30	30	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep30	30	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep30	30	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep30	30	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep30	30	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep30	30	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep30	30	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep30	30	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep30	30	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep30	30	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep30	30	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep30	30	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep30	30	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep30	30	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep30	30	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep31	31	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep31	31	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep31	31	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep31	31	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep31	31	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep31	31	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep31	31	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep31	31	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep31	31	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep31	31	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep31	31	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep31	31	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep31	31	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep31	31	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep31	31	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep32	32	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep32	32	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep32	32	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep32	32	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep32	32	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep32	32	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep32	32	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep32	32	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep32	32	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep32	32	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep32	32	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep32	32	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep32	32	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep32	32	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep32	32	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep33	33	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep33	33	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep33	33	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep33	33	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep33	33	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep33	33	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep33	33	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep33	33	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep33	33	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep33	33	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep33	33	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep33	33	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep33	33	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep33	33	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep33	33	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep34	34	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep34	34	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep34	34	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep34	34	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep34	34	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep34	34	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep34	34	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep34	34	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep34	34	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep34	34	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep34	34	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep34	34	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep34	34	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep34	34	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep34	34	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep35	35	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep35	35	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep35	35	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep35	35	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep35	35	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep35	35	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep35	35	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep35	35	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep35	35	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep35	35	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep35	35	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep35	35	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep35	35	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep35	35	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep35	35	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep36	36	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep36	36	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep36	36	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep36	36	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep36	36	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep36	36	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep36	36	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep36	36	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep36	36	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep36	36	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep36	36	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep36	36	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep36	36	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep36	36	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep36	36	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep37	37	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep37	37	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep37	37	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep37	37	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep37	37	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep37	37	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep37	37	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep37	37	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000		NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep37	37	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000		NA	NA	NA	NA
